Time,WH,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2021/2/19 06:00,188,1013.3,1023.7,13.4,6.5,63.0,0.3,260.0,2.1,260.0,0.0,0.0,0.0,0.03,20.0,0.0,8.0
2021/2/19 07:00,3359,1013.9,1024.3,14.6,5.9,56.0,0.5,250.0,1.4,250.0,0.0,0.0,0.0,0.3,20.0,0.0,8.0
2021/2/19 08:00,6919,1014.4,1024.7,15.9,5.8,51.0,1.1,350.0,1.8,350.0,0.0,0.0,0.0,0.71,20.0,1.0,5.0
2021/2/19 09:00,14349,1014.5,1024.7,18.2,8.2,52.0,1.0,10.0,2.5,340.0,0.0,0.0,0.9,1.9,20.0,3.0,1.0
2021/2/19 10:00,8745,1013.9,1024.1,19.6,9.5,52.0,1.2,200.0,3.3,180.0,0.0,0.0,1.0,2.64,20.0,6.0,1.0
2021/2/19 11:00,8353,1012.7,1022.8,21.1,9.4,47.0,1.5,240.0,5.1,180.0,0.0,0.0,1.0,3.07,20.0,7.0,2.0
2021/2/19 12:00,4084,1011.6,1021.7,22.1,9.3,44.0,1.4,210.0,5.4,250.0,0.0,0.0,1.0,3.12,20.0,7.0,2.0
2021/2/19 13:00,6883,1010.7,1020.8,21.6,8.9,44.0,2.8,350.0,6.6,340.0,0.0,0.0,0.9,2.64,20.0,6.0,2.0
2021/2/19 14:00,10640,1010.4,1020.5,21.4,9.3,46.0,1.9,330.0,5.9,350.0,0.0,0.0,1.0,2.32,18.0,4.0,0.0
2021/2/19 15:00,12027,1010.3,1020.4,20.0,8.7,48.0,2.4,340.0,6.9,350.0,0.0,0.0,1.0,1.6,18.0,2.0,0.0
2021/2/19 16:00,5710,1010.6,1020.8,19.3,8.3,49.0,1.9,350.0,5.2,300.0,0.0,0.0,1.0,0.78,18.0,1.0,0.0
2021/2/19 17:00,1123,1010.8,1021.0,18.0,8.9,55.0,1.9,350.0,4.7,360.0,0.0,0.0,0.3,0.14,10.0,0.0,3.0
2021/2/20 06:00,181,1011.5,1021.9,12.5,9.3,81.0,0.4,100.0,1.7,140.0,0.0,0.0,0.0,0.03,10.0,0.0,3.0
2021/2/20 07:00,2506,1011.4,1021.8,13.4,9.7,78.0,0.3,150.0,1.4,140.0,0.0,0.0,0.0,0.24,10.0,0.0,3.0
2021/2/20 08:00,4220,1011.9,1022.2,14.9,9.7,71.0,0.2,0.0,1.0,150.0,0.0,0.0,0.4,0.46,10.0,1.0,2.0
2021/2/20 09:00,10605,1012.1,1022.3,17.7,9.9,60.0,0.4,220.0,1.8,180.0,0.0,0.0,1.0,1.58,10.0,2.0,0.0
2021/2/20 10:00,9397,1011.3,1021.4,20.1,8.8,48.0,1.3,270.0,3.1,290.0,0.0,0.0,1.0,2.06,10.0,4.0,0.0
2021/2/20 11:00,8312,1010.8,1020.9,20.3,9.9,51.0,2.2,210.0,5.1,200.0,0.0,0.0,1.0,2.49,10.0,5.0,5.0
2021/2/20 12:00,3426,1009.6,1019.7,21.7,10.6,49.0,1.7,240.0,5.1,260.0,0.0,0.0,1.0,2.62,10.0,6.0,5.0
2021/2/20 13:00,6518,1008.6,1018.6,21.8,9.7,46.0,1.6,290.0,5.6,260.0,0.0,0.0,1.0,2.52,10.0,5.0,5.0
2021/2/20 14:00,10501,1008.4,1018.4,21.8,8.7,43.0,1.7,250.0,5.8,20.0,0.0,0.0,1.0,2.15,12.0,4.0,0.0
2021/2/20 15:00,10756,1008.3,1018.4,20.6,7.6,43.0,1.7,330.0,5.6,360.0,0.0,0.0,1.0,1.46,12.0,2.0,0.0
2021/2/20 16:00,5439,1008.3,1018.4,19.7,7.5,45.0,1.9,340.0,4.9,20.0,0.0,0.0,1.0,0.72,12.0,1.0,0.0
2021/2/20 17:00,1002,1009.1,1019.3,18.5,6.7,46.0,1.8,20.0,4.8,360.0,0.0,0.0,0.3,0.13,10.0,0.0,0.0
2021/2/21 06:00,193,1009.5,1019.9,12.6,9.6,82.0,0.7,140.0,1.3,140.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0
2021/2/21 07:00,4015,1010.1,1020.4,15.0,9.6,70.0,0.4,170.0,1.6,150.0,0.0,0.0,0.6,0.45,10.0,0.0,0.0
2021/2/21 08:00,10807,1010.3,1020.5,17.5,10.6,64.0,0.6,200.0,1.6,190.0,0.0,0.0,1.0,1.32,10.0,2.0,1.0
2021/2/21 09:00,16358,1010.5,1020.6,20.3,9.6,50.0,1.0,240.0,3.2,250.0,0.0,0.0,1.0,2.11,15.0,4.0,1.0
2021/2/21 10:00,6735,1009.6,1019.7,21.9,8.4,42.0,2.1,200.0,4.3,240.0,0.0,0.0,1.0,2.76,15.0,6.0,1.0
2021/2/21 11:00,8364,1008.5,1018.5,24.0,3.9,27.0,2.3,200.0,6.6,180.0,0.0,0.0,1.0,3.15,15.0,8.0,5.0
