Time,WH,Temperature,RH,GloblRad,UVI
2021/2/19 06:00,188,13.4,63,0.03,0
2021/2/19 07:00,3359,14.6,56,0.3,0
2021/2/19 08:00,6919,15.9,51,0.71,1
2021/2/19 09:00,14349,18.2,52,1.9,3
2021/2/19 10:00,8745,19.6,52,2.64,6
2021/2/19 11:00,8353,21.1,47,3.07,7
2021/2/19 12:00,4084,22.1,44,3.12,7
2021/2/19 13:00,6883,21.6,44,2.64,6
2021/2/19 14:00,10640,21.4,46,2.32,4
2021/2/19 15:00,12027,20,48,1.6,2
2021/2/19 16:00,5710,19.3,49,0.78,1
2021/2/19 17:00,1123,18,55,0.14,0
2021/2/20 06:00,181,12.5,81,0.03,0
2021/2/20 07:00,2506,13.4,78,0.24,0
2021/2/20 08:00,4220,14.9,71,0.46,1
2021/2/20 09:00,10605,17.7,60,1.58,2
2021/2/20 10:00,9397,20.1,48,2.06,4
2021/2/20 11:00,8312,20.3,51,2.49,5
2021/2/20 12:00,3426,21.7,49,2.62,6
2021/2/20 13:00,6518,21.8,46,2.52,5
2021/2/20 14:00,10501,21.8,43,2.15,4
2021/2/20 15:00,10756,20.6,43,1.46,2
2021/2/20 16:00,5439,19.7,45,0.72,1
2021/2/20 17:00,1002,18.5,46,0.13,0
2021/2/21 06:00,193,12.6,82,0.03,0
2021/2/21 07:00,4015,15,70,0.45,0
2021/2/21 08:00,10807,17.5,64,1.32,2
2021/2/21 09:00,16358,20.3,50,2.11,4
2021/2/21 10:00,6735,21.9,42,2.76,6
2021/2/21 11:00,8364,24,27,3.15,8
2021/2/21 12:00,6456,24.1,29,3.17,8
2021/2/21 13:00,8864,24.1,27,2.88,6
2021/2/21 14:00,5625,24,27,2.34,4
2021/2/21 15:00,6750,23,22,1.68,2
2021/2/21 16:00,6490,21.7,22,0.9,1
2021/2/21 17:00,1200,20.1,30,0.17,0
2021/2/22 06:00,234,13.1,69,0.03,0
2021/2/22 07:00,4759,15.9,58,0.49,0
2021/2/22 08:00,10547,18.9,49,1.43,2
2021/2/22 09:00,10752,22.3,40,2.16,4
2021/2/22 10:00,7696,24,31,2.75,6
2021/2/22 11:00,6702,24.9,35,3.11,8
2021/2/22 12:00,6431,25.8,36,3.16,8
2021/2/22 13:00,8510,26.1,41,2.9,7
2021/2/22 14:00,6522,26.4,37,2.4,5
2021/2/22 15:00,8991,25.3,40,1.69,2
2021/2/22 16:00,6263,24.2,45,0.87,1
2021/2/22 17:00,1147,22.1,53,0.17,0
2021/2/23 06:00,299,16.4,77,0.04,0
