Time,WH,Temperature,RH,GloblRad,UVI,Partly Cloudy,Sunny
2021/2/19 06:00,188.0,13.4,63.0,0.03,0.0,1,0
2021/2/19 07:00,3359.0,14.6,56.0,0.3,0.0,1,0
2021/2/19 08:00,6919.0,15.9,51.0,0.71,1.0,0,1
2021/2/19 09:00,14349.0,18.2,52.0,1.9,3.0,0,1
2021/2/19 10:00,8745.0,19.6,52.0,2.64,6.0,0,1
2021/2/19 11:00,8353.0,21.1,47.0,3.07,7.0,0,0
2021/2/19 12:00,4084.0,22.1,44.0,3.12,7.0,0,0
2021/2/19 13:00,6883.0,21.6,44.0,2.64,6.0,0,0
2021/2/19 14:00,10640.0,21.4,46.0,2.32,4.0,0,1
2021/2/19 15:00,12027.0,20.0,48.0,1.6,2.0,0,1
2021/2/19 16:00,5710.0,19.3,49.0,0.78,1.0,0,1
2021/2/19 17:00,1123.0,18.0,55.0,0.14,0.0,0,1
2021/2/20 06:00,181.0,12.5,81.0,0.03,0.0,1,0
2021/2/20 07:00,2506.0,13.4,78.0,0.24,0.0,1,0
2021/2/20 08:00,4220.0,14.9,71.0,0.46,1.0,1,0
2021/2/20 09:00,10605.0,17.7,60.0,1.58,2.0,0,1
2021/2/20 10:00,9397.0,20.1,48.0,2.06,4.0,0,1
2021/2/20 11:00,8312.0,20.3,51.0,2.49,5.0,0,1
2021/2/20 12:00,3426.0,21.7,49.0,2.62,6.0,0,0
2021/2/20 13:00,6518.0,21.8,46.0,2.52,5.0,0,1
2021/2/20 14:00,10501.0,21.8,43.0,2.15,4.0,0,1
2021/2/20 15:00,10756.0,20.6,43.0,1.46,2.0,0,1
2021/2/20 16:00,5439.0,19.7,45.0,0.72,1.0,0,1
2021/2/20 17:00,1002.0,18.5,46.0,0.13,0.0,0,1
2021/2/21 06:00,193.0,12.6,82.0,0.03,0.0,1,0
2021/2/21 07:00,4015.0,15.0,70.0,0.45,0.0,1,0
2021/2/21 08:00,10807.0,17.5,64.0,1.32,2.0,1,0
2021/2/21 09:00,16358.0,20.3,50.0,2.11,4.0,0,1
2021/2/21 10:00,6735.0,21.9,42.0,2.76,6.0,0,0
2021/2/21 11:00,8364.0,24.0,27.0,3.15,8.0,0,0
2021/2/21 12:00,6456.0,24.1,29.0,3.17,8.0,0,0
2021/2/21 13:00,8864.0,24.1,27.0,2.88,6.0,0,0
2021/2/21 14:00,5625.0,24.0,27.0,2.34,4.0,0,0
2021/2/21 15:00,6750.0,23.0,22.0,1.68,2.0,0,1
2021/2/21 16:00,6490.0,21.7,22.0,0.9,1.0,0,1
2021/2/21 17:00,1200.0,20.1,30.0,0.17,0.0,0,1
2021/2/22 06:00,234.0,13.1,69.0,0.03,0.0,1,0
2021/2/22 07:00,4759.0,15.9,58.0,0.49,0.0,1,0
2021/2/22 08:00,10547.0,18.9,49.0,1.43,2.0,0,1
2021/2/22 09:00,10752.0,22.3,40.0,2.16,4.0,0,1
2021/2/22 10:00,7696.0,24.0,31.0,2.75,6.0,0,0
2021/2/22 11:00,6702.0,24.9,35.0,3.11,8.0,0,0
2021/2/22 12:00,6431.0,25.8,36.0,3.16,8.0,0,0
2021/2/22 13:00,8510.0,26.1,41.0,2.9,7.0,0,0
2021/2/22 14:00,6522.0,26.4,37.0,2.4,5.0,0,0
2021/2/22 15:00,8991.0,25.3,40.0,1.69,2.0,0,1
2021/2/22 16:00,6263.0,24.2,45.0,0.87,1.0,0,1
2021/2/22 17:00,1147.0,22.1,53.0,0.17,0.0,0,1
2021/2/23 06:00,299.0,16.4,77.0,0.04,0.0,1,0
2021/2/23 07:00,5105.0,18.3,67.0,0.58,0.0,1,0
2021/2/23 08:00,10431.0,20.8,59.0,1.36,2.0,0,1
2021/2/23 09:00,7169.0,23.4,54.0,1.37,3.0,0,1
2021/2/23 10:00,8804.0,24.0,53.0,1.99,5.0,0,1
2021/2/23 11:00,5478.0,25.4,47.0,2.4,7.0,0,0
2021/2/23 12:00,8243.0,26.6,55.0,3.17,8.0,0,0
2021/2/23 13:00,6490.0,26.9,53.0,2.89,7.0,0,0
2021/2/23 14:00,4550.0,25.6,58.0,2.29,5.0,0,1
2021/2/23 15:00,6145.0,23.0,65.0,1.62,2.0,0,1
2021/2/23 16:00,4953.0,21.3,71.0,0.78,1.0,1,0
2021/2/23 17:00,1025.0,19.6,77.0,0.18,0.0,1,0
2021/2/24 06:00,41.0,18.0,89.0,0.02,0.0,1,0
2021/2/24 07:00,1861.0,18.6,86.0,0.24,0.0,1,0
2021/2/24 08:00,5215.0,20.2,79.0,0.69,1.0,1,0
2021/2/24 09:00,7053.0,20.8,76.0,1.76,4.0,1,0
2021/2/24 10:00,7698.0,22.5,69.0,2.64,6.0,0,1
2021/2/24 11:00,6692.0,23.4,66.0,3.02,8.0,0,0
2021/2/24 12:00,7525.0,24.1,62.0,3.12,8.0,0,0
2021/2/24 13:00,9333.0,23.8,64.0,2.92,7.0,0,0
2021/2/24 14:00,10419.0,23.7,63.0,2.43,5.0,0,1
2021/2/24 15:00,9625.0,22.2,69.0,1.75,3.0,0,1
2021/2/24 16:00,6606.0,21.6,72.0,0.92,1.0,1,0
2021/2/24 17:00,1146.0,20.1,78.0,0.16,0.0,1,0
2021/2/25 06:00,357.0,18.5,91.0,0.06,0.0,1,0
2021/2/25 07:00,3601.0,19.2,88.0,0.47,0.0,1,0
2021/2/25 08:00,10711.0,21.2,79.0,1.34,2.0,1,0
2021/2/25 09:00,16592.0,24.5,65.0,2.09,4.0,0,1
2021/2/25 10:00,12826.0,24.7,66.0,2.21,5.0,0,1
2021/2/25 11:00,7998.0,24.3,69.0,2.81,7.0,0,0
2021/2/25 12:00,9658.0,24.9,63.0,2.56,7.0,0,0
2021/2/25 13:00,8447.0,26.1,59.0,2.63,7.0,0,0
2021/2/25 14:00,7831.0,26.2,53.0,1.95,4.0,0,1
2021/2/25 15:00,5961.0,24.5,63.0,1.38,2.0,0,1
2021/2/25 16:00,4534.0,23.8,64.0,0.57,1.0,0,1
2021/2/25 17:00,933.0,22.2,69.0,0.12,0.0,1,0
2021/2/26 06:00,193.0,19.2,84.0,0.04,0.0,1,0
2021/2/26 07:00,3544.0,21.1,73.0,0.47,0.0,1,0
2021/2/26 08:00,8387.0,22.7,67.0,1.23,2.0,0,1
2021/2/26 09:00,10630.0,25.5,59.0,1.97,3.0,0,1
2021/2/26 10:00,7392.0,27.5,53.0,2.61,6.0,0,0
2021/2/26 11:00,6328.0,27.6,51.0,2.94,7.0,0,0
2021/2/26 12:00,8648.0,27.1,54.0,2.12,6.0,0,0
2021/2/26 13:00,6268.0,27.2,53.0,2.37,5.0,0,0
2021/2/26 14:00,7139.0,26.8,54.0,1.51,3.0,0,1
2021/2/26 15:00,5202.0,25.5,57.0,0.71,1.0,0,1
2021/2/26 16:00,3869.0,23.3,71.0,0.48,0.0,1,0
2021/2/26 17:00,926.0,21.1,79.0,0.14,0.0,1,0
2021/2/27 06:00,65.0,17.4,84.0,0.02,0.0,1,0
2021/2/27 07:00,2100.0,17.5,82.0,0.28,0.0,1,0
2021/2/27 08:00,4637.0,18.1,79.0,0.54,1.0,1,0
2021/2/27 09:00,4087.0,18.7,77.0,0.48,1.0,1,0
2021/2/27 10:00,6068.0,19.0,76.0,0.71,2.0,1,0
2021/2/27 11:00,10578.0,20.2,71.0,1.14,3.0,1,0
2021/2/27 12:00,6937.0,22.0,65.0,2.51,7.0,0,0
2021/2/27 13:00,7385.0,22.5,63.0,2.82,7.0,0,0
2021/2/27 14:00,13693.0,23.1,62.0,2.21,4.0,0,1
2021/2/27 15:00,11861.0,21.2,68.0,1.6,2.0,0,1
2021/2/27 16:00,5213.0,19.0,75.0,0.71,1.0,1,0
2021/2/27 17:00,1184.0,18.7,76.0,0.17,0.0,1,0
2021/2/28 06:00,285.0,17.1,84.0,0.05,0.0,1,0
2021/2/28 07:00,4044.0,18.3,80.0,0.56,0.0,1,0
2021/2/28 08:00,9808.0,20.0,74.0,1.22,2.0,1,0
2021/2/28 09:00,13717.0,22.0,67.0,2.03,4.0,0,1
2021/2/28 10:00,16461.0,23.6,63.0,2.11,5.0,0,1
2021/2/28 11:00,9581.0,24.5,58.0,2.51,6.0,0,0
2021/2/28 12:00,6680.0,25.1,56.0,2.96,7.0,0,0
2021/2/28 13:00,7170.0,25.6,53.0,2.75,6.0,0,0
2021/2/28 14:00,5784.0,26.5,49.0,2.25,4.0,0,1
2021/2/28 15:00,8353.0,26.4,52.0,1.56,2.0,0,1
2021/2/28 16:00,5407.0,22.9,64.0,0.77,1.0,0,1
2021/2/28 17:00,1117.0,21.8,68.0,0.16,0.0,1,0
2021/3/1 06:00,147.0,18.7,86.0,0.03,0.0,1,0
2021/3/1 07:00,2063.0,20.4,78.0,0.3,0.0,1,0
2021/3/1 08:00,6688.0,21.9,73.0,0.85,1.0,1,0
2021/3/1 09:00,11236.0,24.1,62.0,1.54,3.0,0,1
2021/3/1 10:00,17921.0,25.9,56.0,2.52,5.0,0,0
2021/3/1 11:00,7708.0,27.5,51.0,2.93,7.0,0,0
2021/3/1 12:00,7109.0,27.3,53.0,2.95,8.0,0,0
2021/3/1 13:00,7460.0,27.5,52.0,2.49,6.0,0,0
2021/3/1 14:00,8076.0,27.5,53.0,1.81,4.0,0,1
2021/3/1 15:00,11186.0,26.8,54.0,1.47,2.0,0,1
2021/3/1 16:00,4393.0,25.7,57.0,0.38,0.0,0,1
2021/3/1 17:00,1240.0,23.9,65.0,0.16,0.0,0,1
2021/3/2 06:00,102.0,20.2,83.0,0.02,0.0,1,0
2021/3/2 07:00,2749.0,19.2,78.0,0.39,0.0,1,0
2021/3/2 08:00,7375.0,19.2,72.0,1.11,2.0,1,0
2021/3/2 09:00,12434.0,20.2,66.0,1.71,4.0,0,1
2021/3/2 10:00,14784.0,21.2,62.0,2.55,6.0,0,1
2021/3/2 11:00,13788.0,20.1,62.0,2.55,6.0,0,1
2021/3/2 12:00,9647.0,21.8,57.0,1.88,5.0,0,1
2021/3/2 13:00,8908.0,21.5,55.0,2.82,7.0,0,0
2021/3/2 14:00,9975.0,21.8,55.0,2.14,4.0,0,1
2021/3/2 15:00,11240.0,19.5,61.0,1.49,2.0,0,1
2021/3/2 16:00,5595.0,17.9,66.0,0.77,1.0,1,0
2021/3/2 17:00,963.0,17.0,70.0,0.15,0.0,1,0
2021/3/3 06:00,1.0,16.2,74.0,0.01,0.0,1,0
2021/3/3 07:00,731.0,16.5,74.0,0.12,0.0,1,0
2021/3/3 08:00,3162.0,17.7,71.0,0.44,1.0,1,0
2021/3/3 09:00,7210.0,18.7,67.0,0.91,2.0,1,0
2021/3/3 10:00,7577.0,18.9,66.0,0.91,3.0,0,1
2021/3/3 11:00,3569.0,18.8,66.0,0.44,2.0,1,0
2021/3/3 12:00,3424.0,19.0,67.0,0.34,1.0,1,0
2021/3/3 13:00,3812.0,18.9,68.0,0.45,1.0,1,0
2021/3/3 14:00,5288.0,19.2,68.0,0.51,1.0,1,0
